順位,チェック母父馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,ニジンスキー系, 15-  8-  8- 84/115,13.0%,20.0%,27.0%,81,66,119.3,7.6着,7.3人気,48.6,625,245,0,0.0%,7.0%,7.0%,72.44,12.07,59.64
2,ミスプロ系,  9-  6- 10- 60/ 85,10.6%,17.6%,29.4%,78,74,106.1,6.9着,7.2人気,53.7,746,254,0,0.0%,7.1%,11.8%,71.70,11.95,60.25
3,他のノーザンダンサー系,  8-  8-  6- 50/ 72,11.1%,22.2%,30.6%,76,129,139.2,6.8着,7.7人気,44.2,685,466,0,0.0%,11.1%,8.3%,72.58,12.10,59.52
4,ネヴァーベンド系,  8-  4-  5- 54/ 71,11.3%,16.9%,23.9%,44,43,101.1,7.2着,7.8人気,56.4,396,194,0,0.0%,5.6%,7.0%,72.53,12.09,59.56
5,ノーザンテースト系,  8-  4-  3- 50/ 65,12.3%,18.5%,23.1%,78,60,133.9,7.2着,7.4人気,47.3,638,261,0,0.0%,6.2%,4.6%,72.32,12.05,59.73
6,他のターントゥ系,  7-  7-  6- 51/ 71,9.9%,19.7%,28.2%,98,83,102.1,7.0着,7.6人気,46.0,1003,314,0,0.0%,9.9%,8.5%,72.30,12.05,59.75
7,プリンスリーギフト系,  6-  5-  9- 92/112,5.4%,9.8%,17.9%,99,38,62.4,7.5着,7.9人気,57.5,1852,227,0,0.0%,4.5%,8.0%,72.61,12.10,59.50
8,他のネイティヴダンサー系,  6-  4-  5- 46/ 61,9.8%,16.4%,24.6%,49,66,88.8,7.6着,6.9人気,40.3,505,288,0,0.0%,6.6%,8.2%,72.76,12.13,59.37
9,サンデーサイレンス系,  5-  9-  7- 68/ 89,5.6%,15.7%,23.6%,36,78,65.9,7.5着,7.7人気,62.1,644,332,0,0.0%,10.1%,7.9%,71.63,11.94,60.31
10,ヘロド系,  5-  4-  3- 36/ 48,10.4%,18.8%,25.0%,78,69,112.1,7.3着,6.8人気,43.9,754,277,0,0.0%,8.3%,6.3%,72.45,12.08,59.63
11,ロベルト系,  5-  1-  4- 51/ 61,8.2%,9.8%,16.4%,61,26,83.1,7.6着,7.3人気,52.4,750,164,0,0.0%,1.6%,6.6%,72.42,12.07,59.65
12,リファール系,  4-  5-  4- 44/ 57,7.0%,15.8%,22.8%,57,44,63.5,7.1着,6.4人気,45.9,812,194,0,0.0%,8.8%,7.0%,72.27,12.04,59.78
13,ボールドルーラー系,  4-  5-  3- 57/ 69,5.8%,13.0%,17.4%,26,41,71.1,8.1着,7.9人気,51.2,460,241,0,0.0%,7.2%,4.3%,72.43,12.07,59.64
14,テディ系,  4-  2-  2- 15/ 23,17.4%,26.1%,34.8%,176,91,134.0,6.3着,4.9人気,19.1,1018,262,0,0.0%,8.7%,8.7%,72.17,12.03,59.86
15,グレイソヴリン系,  3-  8-  5- 67/ 83,3.6%,13.3%,19.3%,16,58,42.0,7.6着,8.3人気,61.5,463,304,0,0.0%,9.6%,6.0%,72.42,12.07,59.66
16,ハンプトン系,  3-  5-  8- 51/ 67,4.5%,11.9%,23.9%,47,79,43.8,7.0着,6.9人気,44.1,1053,333,0,0.0%,7.5%,11.9%,72.55,12.09,59.54
17,キングマンボ系,  3-  1-  1-  9/ 14,21.4%,28.6%,35.7%,137,56,154.7,5.5着,5.1人気,50.3,643,198,0,0.0%,7.1%,7.1%,72.24,12.04,59.80
18,セントサイモン系,  2-  8-  5- 59/ 74,2.7%,13.5%,20.3%,12,97,32.5,8.0着,8.0人気,55.1,445,480,0,0.0%,10.8%,6.8%,72.79,12.13,59.35
19,ダンチヒ系,  2-  3-  2- 21/ 28,7.1%,17.9%,25.0%,14,54,47.1,6.7着,6.5人気,38.8,205,219,0,0.0%,10.7%,7.1%,71.74,11.96,60.22
20,マッチェム系,  1-  5-  0- 15/ 21,4.8%,28.6%,28.6%,93,155,37.6,7.5着,7.1人気,31.9,1960,545,0,0.0%,23.8%,0.0%,72.41,12.07,59.66
21,ヌレイエフ系,  1-  1-  2- 16/ 20,5.0%,10.0%,20.0%,30,32,46.0,8.0着,7.5人気,59.7,610,162,0,0.0%,5.0%,10.0%,71.98,12.00,60.02
22,レッドゴッド系,  1-  0-  1- 22/ 24,4.2%,4.2%,8.3%,58,50,120.4,8.0着,8.8人気,73.7,1400,610,0,0.0%,0.0%,4.2%,72.83,12.14,59.31
23,フェアリーキング系,  1-  0-  0-  3/  4,25.0%,25.0%,25.0%,307,60,664.7,5.8着,8.3人気,78.9,1230,240,0,0.0%,0.0%,0.0%,71.95,11.99,60.04
24,トップサイダー系,  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,270,140,270.0,1.0着,1.0人気,2.7,270,140,0,0.0%,0.0%,0.0%,72.60,12.10,59.50
25,チェック母父馬無し,  0-  3-  8- 46/ 57,0.0%,5.3%,19.3%,0,53,0.0,8.3着,7.9人気,62.5,,279,0,0.0%,5.3%,14.0%,73.23,12.20,58.99
26,フォーティナイナー系,  0-  3-  1- 12/ 16,0.0%,18.8%,25.0%,0,43,0.0,8.4着,8.9人気,87.2,,175,0,0.0%,18.8%,6.3%,71.71,11.95,60.25
27,サドラーズウェルズ系,  0-  2-  2- 14/ 18,0.0%,11.1%,22.2%,0,30,0.0,8.8着,6.8人気,50.5,,138,0,0.0%,11.1%,11.1%,72.04,12.01,59.96
28,ヴァイスリージェント系,  0-  1-  1- 22/ 24,0.0%,4.2%,8.3%,0,34,0.0,9.3着,8.5人気,68.3,,415,0,0.0%,4.2%,4.2%,71.99,12.00,60.01
29,ストームバード系,  0-  1-  0- 15/ 16,0.0%,6.3%,6.3%,0,8,0.0,8.4着,7.4人気,49.3,,140,0,0.0%,6.3%,0.0%,71.74,11.96,60.22
30,ディープインパクト系,  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,80,0.0,4.5着,4.0人気,8.6,,160,0,0.0%,0.0%,50.0%,70.90,11.82,60.93
31,"チェック母父馬 Type [99]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
32,"チェック母父馬 Type [98]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
33,"チェック母父馬 Type [97]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
34,"チェック母父馬 Type [96]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
35,"チェック母父馬 Type [95]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
36,"チェック母父馬 Type [94]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
37,"チェック母父馬 Type [93]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
38,"チェック母父馬 Type [92]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
39,"チェック母父馬 Type [91]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
40,"チェック母父馬 Type [90]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
41,"チェック母父馬 Type [89]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
42,"チェック母父馬 Type [88]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
43,"チェック母父馬 Type [87]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
44,"チェック母父馬 Type [86]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
45,"チェック母父馬 Type [85]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
46,"チェック母父馬 Type [84]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
47,"チェック母父馬 Type [83]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
48,"チェック母父馬 Type [82]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
49,"チェック母父馬 Type [81]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
50,"チェック母父馬 Type [80]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
51,"チェック母父馬 Type [79]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
52,"チェック母父馬 Type [78]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
53,"チェック母父馬 Type [77]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
54,"チェック母父馬 Type [76]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
55,"チェック母父馬 Type [75]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
56,"チェック母父馬 Type [74]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
57,"チェック母父馬 Type [73]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
58,"チェック母父馬 Type [72]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
59,"チェック母父馬 Type [71]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
60,"チェック母父馬 Type [70]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
61,"チェック母父馬 Type [69]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
62,"チェック母父馬 Type [68]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
63,"チェック母父馬 Type [67]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
64,"チェック母父馬 Type [66]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
65,"チェック母父馬 Type [65]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
66,"チェック母父馬 Type [64]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
67,"チェック母父馬 Type [63]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
68,"チェック母父馬 Type [62]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
69,"チェック母父馬 Type [61]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
70,"チェック母父馬 Type [60]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
71,"チェック母父馬 Type [59]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
72,"チェック母父馬 Type [58]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
73,"チェック母父馬 Type [57]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
74,"チェック母父馬 Type [56]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
75,"チェック母父馬 Type [55]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
76,"チェック母父馬 Type [54]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
77,"チェック母父馬 Type [53]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
78,"チェック母父馬 Type [52]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
79,"チェック母父馬 Type [51]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
80,"チェック母父馬 Type [50]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
81,"チェック母父馬 Type [49]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
82,"チェック母父馬 Type [48]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
83,"チェック母父馬 Type [47]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
84,"チェック母父馬 Type [46]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
85,"チェック母父馬 Type [45]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
86,"チェック母父馬 Type [44]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
87,"チェック母父馬 Type [43]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
88,"チェック母父馬 Type [42]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
89,"チェック母父馬 Type [41]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
90,"チェック母父馬 Type [40]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
91,"チェック母父馬 Type [39]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
92,"チェック母父馬 Type [38]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
93,"チェック母父馬 Type [37]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
94,"チェック母父馬 Type [36]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
95,"チェック母父馬 Type [35]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
96,"チェック母父馬 Type [34]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
97,"チェック母父馬 Type [33]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
98,"チェック母父馬 Type [32]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
99,"チェック母父馬 Type [31]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
100,"チェック母父馬 Type [30]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
