順位,チェック種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,サンデーサイレンス系, 339- 328- 310-3068/4045,8.4%,16.5%,24.2%,77,76,82.4,7.3着,7.2人気,64.5,920,317,0,0.0%,8.1%,7.7%,115.79,12.87,55.96
2,ミスプロ系, 215- 200- 185-1826/2426,8.9%,17.1%,24.7%,93,81,87.2,7.2着,7.2人気,59.0,1050,330,0,0.0%,8.2%,7.6%,115.81,12.87,55.95
3,ロベルト系, 160- 134- 139-1314/1747,9.2%,16.8%,24.8%,76,80,83.4,7.0着,6.9人気,54.0,838,325,0,0.0%,7.7%,8.0%,115.91,12.88,55.91
4,ニジンスキー系, 121- 121- 138-1221/1601,7.6%,15.1%,23.7%,59,68,76.8,6.9着,7.0人気,48.8,784,293,0,0.0%,7.6%,8.6%,116.48,12.94,55.63
5,リファール系,  90-  80-  89- 849/1108,8.1%,15.3%,23.4%,81,71,87.3,7.0着,7.2人気,56.9,1000,311,0,0.0%,7.2%,8.0%,116.35,12.93,55.70
6,他のノーザンダンサー系,  80-  78-  77- 715/ 950,8.4%,16.6%,24.7%,58,73,80.9,6.9着,7.0人気,42.5,699,304,0,0.0%,8.2%,8.1%,116.64,12.96,55.56
7,ハンプトン系,  77-  87-  99- 794/1057,7.3%,15.5%,24.9%,54,66,71.5,6.7着,6.9人気,37.8,751,269,0,0.0%,8.2%,9.4%,116.78,12.98,55.49
8,グレイソヴリン系,  75-  78-  75- 887/1115,6.7%,13.7%,20.4%,59,62,73.7,7.3着,7.4人気,60.4,886,307,0,0.0%,7.0%,6.7%,116.60,12.96,55.57
9,ノーザンテースト系,  68-  70-  51- 489/ 678,10.0%,20.4%,27.9%,94,76,92.4,6.6着,6.8人気,45.3,938,273,0,0.0%,10.3%,7.5%,116.26,12.92,55.74
10,チェック種牡馬無し,  65-  70-  77- 646/ 858,7.6%,15.7%,24.7%,49,70,71.1,6.8着,6.9人気,42.8,655,287,0,0.0%,8.2%,9.0%,116.57,12.95,55.59
11,ヴァイスリージェント系,  63-  62-  53- 545/ 723,8.7%,17.3%,24.6%,77,82,77.5,7.1着,6.9人気,52.4,885,337,0,0.0%,8.6%,7.3%,115.55,12.84,56.08
12,キングマンボ系,  62-  61-  64- 594/ 781,7.9%,15.7%,23.9%,47,71,73.5,7.2着,6.9人気,59.3,597,300,0,0.0%,7.8%,8.2%,115.30,12.81,56.20
13,ネヴァーベンド系,  60-  66-  69- 639/ 834,7.2%,15.1%,23.4%,52,69,73.8,6.9着,7.1人気,46.7,730,301,0,0.0%,7.9%,8.3%,116.75,12.97,55.50
14,セントサイモン系,  60-  60-  61- 539/ 720,8.3%,16.7%,25.1%,63,65,75.7,6.8着,6.9人気,40.6,764,266,0,0.0%,8.3%,8.5%,116.73,12.97,55.51
15,プリンスリーギフト系,  58-  60-  40- 564/ 722,8.0%,16.3%,21.9%,91,60,73.9,7.2着,6.9人気,38.8,1141,278,0,0.0%,8.3%,5.5%,116.85,12.98,55.46
16,他のネイティヴダンサー系,  55-  30-  40- 342/ 467,11.8%,18.2%,26.8%,121,76,106.0,6.6着,6.5人気,39.3,1030,288,0,0.0%,6.4%,8.6%,116.27,12.92,55.73
17,ヘロド系,  51-  33-  41- 456/ 581,8.8%,14.5%,21.5%,64,57,91.6,7.3着,7.2人気,50.2,730,271,0,0.0%,5.7%,7.1%,116.98,13.00,55.39
18,ボールドルーラー系,  50-  69-  54- 554/ 727,6.9%,16.4%,23.8%,50,71,66.0,7.0着,7.0人気,45.6,734,304,0,0.0%,9.5%,7.4%,116.47,12.94,55.64
19,フォーティナイナー系,  38-  33-  38- 380/ 489,7.8%,14.5%,22.3%,53,88,82.1,7.7着,7.7人気,71.7,682,400,0,0.0%,6.7%,7.8%,115.49,12.83,56.11
20,ダンチヒ系,  37-  40-  70- 549/ 696,5.3%,11.1%,21.1%,66,64,61.0,7.5着,7.6人気,66.4,1242,317,0,0.0%,5.7%,10.1%,116.08,12.90,55.82
21,他のターントゥ系,  36-  65-  62- 659/ 822,4.4%,12.3%,19.8%,45,66,56.0,7.7着,7.8人気,63.5,1034,340,0,0.0%,7.9%,7.5%,116.33,12.93,55.70
22,レッドゴッド系,  32-  40-  34- 351/ 457,7.0%,15.8%,23.2%,76,88,77.4,7.1着,7.6人気,65.1,1094,383,0,0.0%,8.8%,7.4%,116.23,12.91,55.75
23,サドラーズウェルズ系,  28-  23-  27- 342/ 420,6.7%,12.1%,18.6%,140,77,89.8,7.9着,8.2人気,88.2,2106,424,0,0.0%,5.5%,6.4%,116.60,12.96,55.57
24,ストームバード系,  25-  38-  26- 275/ 364,6.9%,17.3%,24.5%,83,96,71.5,7.4着,7.4人気,69.0,1220,394,0,0.0%,10.4%,7.1%,115.62,12.85,56.04
25,ヌレイエフ系,  16-  22-  23- 196/ 257,6.2%,14.8%,23.7%,87,66,59.8,6.9着,6.8人気,53.4,1402,279,0,0.0%,8.6%,8.9%,116.12,12.90,55.81
26,ディープインパクト系,  12-  11-  11- 101/ 135,8.9%,17.0%,25.2%,57,55,70.1,7.1着,5.9人気,43.7,651,221,0,0.0%,8.1%,8.1%,115.52,12.84,56.09
27,テディ系,  10-  14-  15- 163/ 202,5.0%,11.9%,19.3%,26,60,58.6,7.4着,7.5人気,60.2,540,315,0,0.0%,6.9%,7.4%,116.02,12.89,55.85
28,マッチェム系,   8-  11-  19- 104/ 142,5.6%,13.4%,26.8%,27,64,49.8,6.9着,7.0人気,54.8,496,240,0,0.0%,7.7%,13.4%,116.46,12.94,55.64
29,トップサイダー系,   7-  14-  10- 117/ 148,4.7%,14.2%,20.9%,23,57,56.4,7.8着,8.2人気,77.9,493,273,0,0.0%,9.5%,6.8%,116.13,12.90,55.80
30,フェアリーキング系,   5-   7-   7-  91/ 110,4.5%,10.9%,17.3%,58,49,56.7,8.0着,8.2人気,94.8,1280,286,0,0.0%,6.4%,6.4%,116.64,12.96,55.55
31,"チェック種牡馬 Type [99]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
32,"チェック種牡馬 Type [98]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
33,"チェック種牡馬 Type [97]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
34,"チェック種牡馬 Type [96]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
35,"チェック種牡馬 Type [95]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
36,"チェック種牡馬 Type [94]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
37,"チェック種牡馬 Type [93]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
38,"チェック種牡馬 Type [92]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
39,"チェック種牡馬 Type [91]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
40,"チェック種牡馬 Type [90]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
41,"チェック種牡馬 Type [89]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
42,"チェック種牡馬 Type [88]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
43,"チェック種牡馬 Type [87]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
44,"チェック種牡馬 Type [86]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
45,"チェック種牡馬 Type [85]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
46,"チェック種牡馬 Type [84]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
47,"チェック種牡馬 Type [83]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
48,"チェック種牡馬 Type [82]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
49,"チェック種牡馬 Type [81]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
50,"チェック種牡馬 Type [80]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
51,"チェック種牡馬 Type [79]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
52,"チェック種牡馬 Type [78]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
53,"チェック種牡馬 Type [77]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
54,"チェック種牡馬 Type [76]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
55,"チェック種牡馬 Type [75]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
56,"チェック種牡馬 Type [74]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
57,"チェック種牡馬 Type [73]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
58,"チェック種牡馬 Type [72]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
59,"チェック種牡馬 Type [71]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
60,"チェック種牡馬 Type [70]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
61,"チェック種牡馬 Type [69]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
62,"チェック種牡馬 Type [68]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
63,"チェック種牡馬 Type [67]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
64,"チェック種牡馬 Type [66]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
65,"チェック種牡馬 Type [65]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
66,"チェック種牡馬 Type [64]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
67,"チェック種牡馬 Type [63]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
68,"チェック種牡馬 Type [62]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
69,"チェック種牡馬 Type [61]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
70,"チェック種牡馬 Type [60]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
71,"チェック種牡馬 Type [59]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
72,"チェック種牡馬 Type [58]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
73,"チェック種牡馬 Type [57]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
74,"チェック種牡馬 Type [56]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
75,"チェック種牡馬 Type [55]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
76,"チェック種牡馬 Type [54]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
77,"チェック種牡馬 Type [53]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
78,"チェック種牡馬 Type [52]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
79,"チェック種牡馬 Type [51]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
80,"チェック種牡馬 Type [50]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
81,"チェック種牡馬 Type [49]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
82,"チェック種牡馬 Type [48]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
83,"チェック種牡馬 Type [47]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
84,"チェック種牡馬 Type [46]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
85,"チェック種牡馬 Type [45]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
86,"チェック種牡馬 Type [44]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
87,"チェック種牡馬 Type [43]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
88,"チェック種牡馬 Type [42]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
89,"チェック種牡馬 Type [41]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
90,"チェック種牡馬 Type [40]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
91,"チェック種牡馬 Type [39]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
92,"チェック種牡馬 Type [38]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
93,"チェック種牡馬 Type [37]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
94,"チェック種牡馬 Type [36]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
95,"チェック種牡馬 Type [35]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
96,"チェック種牡馬 Type [34]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
97,"チェック種牡馬 Type [33]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
98,"チェック種牡馬 Type [32]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
99,"チェック種牡馬 Type [31]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
100,"チェック種牡馬 Type [30]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
